lineage	non_spike_mutations
A	4.
A.1	6.
A.18	8.
A.19	8.
A.2	8.
A.21	8.
A.23	15.
A.23.1	16.
A.2.5	25.
A.25	8.
A.2.5.1	27.
A.2.5.2	28.
A.2.5.3	27.
A.27	19.
A.28	18.
A.29	19.
A.3	13.
A.5	4.
AD.2	17.
AE.1	10.
AE.8	14.
AT.1	28.
AU.2	21.
AU.3	20.
AY.1	25.
AY.10	26.
AY.100	29.
AY.101	31.
AY.102	29.
AY.102.1	32.
AY.102.2	34.
AY.103	27.
AY.104	27.
AY.105	27.
AY.106	26.
AY.107	27.
AY.108	30.
AY.109	28.
AY.11	25.
AY.110	26.
AY.111	26.
AY.112	26.
AY.113	30.
AY.114	28.
AY.116	26.
AY.116.1	29.
AY.117	30.
AY.118	28.
AY.119	27.
AY.119.1	35.
AY.119.2	27.
AY.120	27.
AY.120.1	28.
AY.120.2	28.
AY.120.2.1	31.
AY.121	29.
AY.121.1	37.
AY.122	26.
AY.122.1	30.
AY.122.2	28.
AY.122.3	33.
AY.123	32.
AY.123.1	34.
AY.124	28.
AY.124.1	33.
AY.125	32.
AY.126	30.
AY.127	28.
AY.127.1	34.
AY.128	29.
AY.129	28.
AY.13	26.
AY.131	29.
AY.132	40.
AY.133	29.
AY.14	26.
AY.15	26.
AY.16	25.
AY.16.1	30.
AY.17	27.
AY.19	26.
AY.2	28.
AY.20	27.
AY.20.1	34.
AY.22	30.
AY.23	28.
AY.23.1	36.
AY.24	21.
AY.25	28.
AY.25.1	30.
AY.25.1.1	32.
AY.26	23.
AY.26.1	28.
AY.27	23.
AY.28	27.
AY.29	28.
AY.29.1	28.
AY.3	29.
AY.30	30.
AY.3.1	34.
AY.3.2	34.
AY.32	28.
AY.3.3	36.
AY.33	25.
AY.33.1	32.
AY.34	32.
AY.34.1	34.
AY.34.1.1	36.
AY.34.2	36.
AY.35	25.
AY.36	30.
AY.37	23.
AY.38	24.
AY.39	27.
AY.39.1	28.
AY.39.1.1	29.
AY.39.1.2	31.
AY.39.1.3	30.
AY.39.2	31.
AY.4	26.
AY.40	33.
AY.4.1	30.
AY.41	34.
AY.4.10	36.
AY.4.2	28.
AY.42	29.
AY.4.2.1	31.
AY.42.1	32.
AY.4.2.2	29.
AY.4.2.3	29.
AY.4.3	26.
AY.43	27.
AY.43.1	31.
AY.43.2	30.
AY.43.3	30.
AY.43.4	30.
AY.43.5	33.
AY.43.6	33.
AY.43.7	30.
AY.4.4	30.
AY.44	28.
AY.4.5	28.
AY.45	27.
AY.4.6	31.
AY.46	27.
AY.46.1	28.
AY.46.2	28.
AY.46.3	31.
AY.46.4	27.
AY.46.5	29.
AY.46.6	29.
AY.4.7	31.
AY.47	24.
AY.4.8	31.
AY.48	24.
AY.4.9	30.
AY.49	28.
AY.5	26.
AY.50	27.
AY.5.1	28.
AY.51	26.
AY.5.2	29.
AY.52	28.
AY.5.3	28.
AY.53	27.
AY.5.4	28.
AY.54	28.
AY.5.5	30.
AY.55	21.
AY.56	23.
AY.57	22.
AY.58	24.
AY.59	23.
AY.6	27.
AY.60	27.
AY.61	21.
AY.62	23.
AY.63	31.
AY.64	30.
AY.65	24.
AY.66	24.
AY.67	24.
AY.68	29.
AY.69	28.
AY.7	31.
AY.70	24.
AY.7.1	33.
AY.71	23.
AY.7.2	33.
AY.72	25.
AY.73	27.
AY.74	25.
AY.75	21.
AY.75.2	26.
AY.75.3	27.
AY.76	27.
AY.77	27.
AY.78	29.
AY.79	26.
AY.8	25.
AY.80	30.
AY.81	31.
AY.82	27.
AY.83	28.
AY.84	27.
AY.85	32.
AY.86	28.
AY.87	31.
AY.88	27.
AY.9	21.
AY.90	31.
AY.91	29.
AY.91.1	33.
AY.9.2	24.
AY.92	27.
AY.9.2.2	26.
AY.93	28.
AY.94	30.
AY.95	26.
AY.98	27.
AY.98.1	31.
AY.99	28.
AY.99.1	29.
AY.99.2	31.
AZ.1	25.
AZ.2	26.
AZ.3	24.
AZ.4	24.
AZ.5	25.
B	-0.5
B.1	6.5
B.1.1	6.
B.1.1.1	11.
B.1.1.10	8.
B.1.110	5.
B.1.1.101	8.
B.1.110.3	7.
B.1.111	6.
B.1.1.111	8.
B.1.1.115	8.
B.1.1.117	7.
B.1.1.121	7.
B.1.1.133	10.
B.1.1.135	7.
B.1.1.141	7.
B.1.1.153	12.
B.1.1.157	9.
B.1.1.159	11.
B.1.1.161	6.
B.1.1.163	9.
B.1.1.170	13.
B.1.1.171	8.
B.1.1.174	7.
B.1.1.176	11.
B.1.1.181	8.
B.1.1.186	8.
B.1.1.189	8.
B.1.1.192	8.
B.1.1.198	9.
B.1.1.203	7.
B.1.1.205	8.
B.1.1.207	12.
B.1.1.214	10.
B.1.1.216	9.
B.1.1.220	8.
B.1.1.221	9.
B.1.1.222	8.
B.1.1.228	10.
B.1.1.231	8.
B.1.1.232	9.
B.1.1.241	11.
B.1.1.243	9.
B.1.1.25	8.
B.1.1.253	7.
B.1.1.254	7.
B.1.126	6.
B.1.1.263	8.
B.1.1.265	8.
B.1.1.269	10.
B.1.1.27	8.
B.1.1.273	8.
B.1.1.274	7.
B.1.1.277	12.
B.1.1.279	10.
B.1.1.28	7.5
B.1.128	7.
B.1.1.284	13.
B.1.1.291	9.
B.1.1.294	9.
B.1.1.297	8.
B.1.1.298	8.
B.1.1.301	9.
B.1.1.302	13.
B.1.1.304	8.
B.1.1.305	8.
B.1.1.306	9.
B.1.1.307	9.
B.1.1.311	9.
B.1.1.312	12.
B.1.1.315	15.
B.1.1.316	11.
B.1.1.317	8.
B.1.1.318	21.
B.1.1.326	10.
B.1.1.329	9.
B.1.1.33	8.
B.1.1.332	14.
B.1.1.34	8.
B.1.1.348	8.
B.1.1.351	15.
B.1.1.354	10.
B.1.1.359	7.
B.1.1.360	7.
B.1.1.368	9.
B.1.1.369	9.
B.1.1.37	8.
B.1.1.370	6.
B.1.1.371	7.
B.1.1.372	8.
B.1.1.374	13.
B.1.1.375	21.
B.1.1.376	8.
B.1.1.378	8.
B.1.1.382	8.
B.1.1.39	10.
B.1.139	7.
B.1.1.391	8.
B.1.1.397	8.
B.1.1.398	7.
B.1.1.404	10.
B.1.1.406	14.
B.1.1.409	6.
B.1.1.411	6.
B.1.1.412	8.
B.1.1.413	13.
B.1.1.416	9.
B.1.1.417	18.
B.1.1.418	16.
B.1.1.419	6.
B.1.1.420	17.
B.1.143	4.
B.1.1.432	10.
B.1.1.433	19.
B.1.1.434	13.
B.1.1.44	7.
B.1.1.442	8.
B.1.1.448	8.
B.1.1.459	10.
B.1.1.46	11.
B.1.146	8.
B.1.1.462	6.
B.1.1.464	9.
B.1.1.47	9.
B.1.147	5.
B.1.1.485	7.
B.1.1.486	15.
B.1.1.487	7.
B.1.149	5.
B.1.1.50	10.
B.1.1.500	8.
B.1.1.507	10.
B.1.1.51	9.
B.1.1.519	17.
B.1.1.52	11.
B.1.1.521	11.
B.1.1.523	26.
B.1.1.525	16.
B.1.1.526	17.
B.1.1.528	19.
B.1.1.529	28.
B.1.1.53	8.
B.1.1.54	10.
B.1.1.56	10.
B.1.1.57	7.
B.1.160	18.
B.1.160.16	21.
B.1.1.61	7.
B.1.1.63	8.
B.1.1.67	7.
B.1.1.7	24.
B.1.1.70	10.
B.1.170	5.
B.1.177	9.
B.1.177.10	10.
B.1.177.12	15.
B.1.177.15	15.
B.1.177.16	10.
B.1.177.18	12.
B.1.177.21	12.
B.1.177.32	11.
B.1.177.35	14.
B.1.177.4	14.
B.1.177.44	13.
B.1.177.46	12.
B.1.177.5	13.
B.1.177.52	13.
B.1.177.53	12.
B.1.177.54	16.
B.1.177.56	13.
B.1.177.57	14.
B.1.177.60	13.
B.1.177.62	14.
B.1.177.7	12.
B.1.177.73	15.
B.1.177.75	11.
B.1.177.77	13.
B.1.177.8	12.
B.1.177.81	13.
B.1.177.82	12.
B.1.177.83	11.
B.1.177.86	14.
B.1.177.87	12.
B.1.179	4.
B.1.1.8	7.
B.1.1.83	7.
B.1.189	5.
B.1.192	5.
B.1.195	5.
B.1.1.99	8.
B.1.2	12.
B.1.206	6.
B.1.210	6.
B.1.212	5.
B.1.214	7.
B.1.214.1	12.
B.1.214.2	16.
B.1.214.3	19.
B.1.219	6.
B.1.22	6.
B.1.221	11.
B.1.222	3.
B.1.232	6.
B.1.234	9.
B.1.236	8.
B.1.237	5.
B.1.239	6.
B.1.240	7.
B.1.240.1	12.
B.1.241	6.
B.1.243	6.
B.1.247	3.
B.1.258	9.
B.1.258.11	17.
B.1.258.14	12.
B.1.258.17	22.
B.1.258.3	13.
B.1.260	4.
B.1.265	7.
B.1.279	11.
B.1.298	8.
B.1.3	7.
B.1.311	9.
B.1.319	6.
B.1.320	7.
B.1.324	6.
B.1.336	7.
B.1.340	7.
B.1.346	10.
B.1.349	7.
B.1.350	6.
B.1.351	13.
B.1.351.1	20.
B.1.351.2	17.
B.1.351.3	21.
B.1.351.5	24.
B.1.356	7.
B.1.36	8.
B.1.36.1	11.
B.1.361	13.
B.1.36.10	8.
B.1.36.16	10.
B.1.36.17	11.
B.1.36.18	14.
B.1.36.19	10.
B.1.362	11.
B.1.36.22	9.
B.1.36.24	9.
B.1.36.29	13.
B.1.36.31	18.
B.1.36.35	9.
B.1.36.36	15.
B.1.36.38	10.
B.1.36.39	16.
B.1.36.7	9.
B.1.367	25.
B.1.36.8	10.
B.1.36.9	16.
B.1.369	8.
B.1.371	6.
B.1.375	13.
B.1.377	6.
B.1.378	4.
B.1.379	4.
B.1.380	6.
B.1.381	6.
B.1.389	16.
B.1.391	5.
B.1.393	6.
B.1.395	4.
B.1.396	10.
B.1.397	6.
B.1.398	8.
B.1.399	6.
B.1.400	6.
B.1.402	7.
B.1.404	11.
B.1.409	15.
B.1.411	10.
B.1.415.1	23.
B.1.416	7.
B.1.416.1	7.
B.1.417	8.
B.1.420	5.
B.1.426	7.
B.1.427	14.
B.1.428	6.
B.1.429	17.
B.1.433	10.
B.1.436	7.
B.1.438	7.
B.1.438.1	12.
B.1.441	7.
B.1.453	6.
B.1.456	7.
B.1.459	7.
B.1.462	7.
B.1.465	7.
B.1.466	7.
B.1.466.1	15.
B.1.466.2	13.
B.1.468	7.
B.1.469	9.
B.1.470	7.
B.1.471	8.
B.1.474	18.
B.1.480	9.
B.1.497	10.
B.1.499	9.
B.1.503	9.
B.1.505	13.
B.1.509	10.
B.1.517	9.
B.1.523	7.
B.1.524	12.
B.1.525	19.
B.1.526	11.
B.1.527	5.
B.1.530	11.
B.1.533	7.
B.1.537	6.
B.1.538	6.
B.1.540	4.
B.1.544	5.
B.1.549	11.
B.1.551	6.
B.1.558	6.
B.1.560	4.
B.1.561	11.
B.1.564	7.
B.1.565	10.
B.1.566	6.
B.1.567	11.
B.1.568	16.
B.1.570	13.
B.1.575	17.
B.1.575.1	19.
B.1.576	5.
B.1.577	8.
B.1.580	7.
B.1.582	8.
B.1.587	15.
B.1.588	17.
B.1.595	8.
B.1.596	8.
B.1.596.1	9.
B.1.597	8.
B.1.600	9.
B.1.605	9.
B.1.606	9.
B.1.609	5.
B.1.612	8.
B.1.617	8.
B.1.617.1	15.
B.1.617.2	14.
B.1.617.3	17.
B.1.618	23.
B.1.619	26.
B.1.619.1	34.
B.1.620	16.
B.1.621	23.
B.1.621.1	32.
B.1.621.2	31.
B.1.623	16.
B.1.625	21.
B.1.626	23.
B.1.627	17.
B.1.629	23.
B.1.630	29.
B.1.631	22.
B.1.634	22.
B.1.636	15.
B.1.637	16.
B.1.639	8.
B.1.640.1	38.
B.1.78	4.
B.1.8	4.
B.1.9	8.
B.1.91	4.
B.1.9.5	7.
B.23	2.
B.3	2.
B.39	6.
B.4	4.
B.40	5.
B.55	1.
B.6	5.
B.6.6	7.
BA.1	29.
BA.1.1	29.
BA.1.10	31.
BA.1.1.1	31.
BA.1.1.10	32.
BA.1.1.11	31.
BA.1.1.12	32.
BA.1.1.13	32.
BA.1.1.14	31.
BA.1.1.15	32.
BA.1.1.16	33.
BA.1.1.17	32.
BA.1.1.18	31.
BA.1.1.2	31.
BA.1.12	31.
BA.1.1.3	32.
BA.1.13	30.
BA.1.13.1	32.
BA.1.1.4	33.
BA.1.14	31.
BA.1.14.1	32.
BA.1.14.2	32.
BA.1.1.5	33.
BA.1.15	33.
BA.1.15.1	34.
BA.1.15.2	33.
BA.1.15.3	36.
BA.1.1.6	33.
BA.1.16	31.
BA.1.16.1	34.
BA.1.16.2	34.
BA.1.1.7	31.
BA.1.17	31.
BA.1.17.1	33.
BA.1.17.2	32.
BA.1.1.8	31.
BA.1.18	30.
BA.1.1.9	31.
BA.1.19	31.
BA.1.2	31.
BA.1.20	31.
BA.1.21	30.
BA.1.21.1	31.
BA.1.22	32.
BA.1.23	30.
BA.1.24	30.
BA.1.3	32.
BA.1.4	30.
BA.1.5	32.
BA.1.6	31.
BA.1.7	31.
BA.1.8	33.
BA.1.9	32.
BA.2	37.
BA.2.1	39.
BA.2.10	39.
BA.2.10.1	41.
BA.2.10.2	40.
BA.2.10.3	39.
BA.2.10.4	44.
BA.2.11	40.
BA.2.12	41.
BA.2.12.1	41.
BA.2.12.2	43.
BA.2.13	40.
BA.2.13.1	43.
BA.2.14	39.
BA.2.15	40.
BA.2.16	38.
BA.2.17	41.
BA.2.18	39.
BA.2.19	39.
BA.2.2	42.
BA.2.20	40.
BA.2.2.1	47.
BA.2.21	42.
BA.2.22	41.
BA.2.23	39.
BA.2.23.1	41.
BA.2.24	38.
BA.2.25	40.
BA.2.25.1	42.
BA.2.26	40.
BA.2.27	40.
BA.2.28	41.
BA.2.29	39.
BA.2.3	40.
BA.2.30	40.
BA.2.3.1	40.
BA.2.31	39.
BA.2.3.10	41.
BA.2.3.11	41.
BA.2.31.1	40.
BA.2.3.12	43.
BA.2.3.13	42.
BA.2.3.14	42.
BA.2.3.15	42.
BA.2.3.16	41.
BA.2.3.17	42.
BA.2.3.18	43.
BA.2.3.19	44.
BA.2.3.2	41.
BA.2.32	40.
BA.2.3.20	53.5
BA.2.3.21	41.
BA.2.3.22	46.
BA.2.33	40.
BA.2.3.4	42.
BA.2.34	40.
BA.2.3.5	41.
BA.2.35	41.
BA.2.3.6	41.
BA.2.36	39.
BA.2.3.7	42.
BA.2.37	40.
BA.2.3.8	46.
BA.2.38	39.
BA.2.38.1	43.
BA.2.38.2	44.
BA.2.38.3	42.
BA.2.38.4	41.
BA.2.3.9	41.
BA.2.39	44.
BA.2.4	40.
BA.2.40	39.
BA.2.40.1	40.
BA.2.41	40.
BA.2.42	41.
BA.2.43	40.
BA.2.44	41.
BA.2.45	41.
BA.2.46	44.
BA.2.47	41.
BA.2.48	42.
BA.2.49	41.
BA.2.5	39.
BA.2.50	40.
BA.2.51	40.
BA.2.52	40.
BA.2.53	44.
BA.2.54	41.
BA.2.55	39.
BA.2.56	38.
BA.2.56.1	39.
BA.2.57	40.
BA.2.58	39.
BA.2.59	41.
BA.2.6	40.
BA.2.60	44.
BA.2.61	40.
BA.2.62	39.
BA.2.63	40.
BA.2.64	41.
BA.2.65	39.
BA.2.66	42.
BA.2.67	42.
BA.2.68	40.
BA.2.69	40.
BA.2.7	40.
BA.2.70	42.
BA.2.71	39.
BA.2.72	40.
BA.2.73	40.
BA.2.74	43.
BA.2.75	46.
BA.2.75.1	47.
BA.2.75.10	47.
BA.2.75.2	50.
BA.2.75.3	47.
BA.2.75.4	49.
BA.2.75.5	46.
BA.2.75.6	47.
BA.2.75.7	47.
BA.2.75.8	53.
BA.2.75.9	47.
BA.2.76	39.
BA.2.76.1	44.
BA.2.76.2	43.
BA.2.77	44.
BA.2.78	42.
BA.2.79	41.
BA.2.79.1	43.
BA.2.8	40.
BA.2.80	44.
BA.2.81	42.
BA.2.82	41.
BA.2.83	49.
BA.2.85	43.
BA.2.86	61.
BA.2.86.1	64.
BA.2.86.2	62.
BA.2.86.3	65.
BA.2.86.4	62.
BA.2.86.5	65.
BA.2.86.6	63.
BA.2.86.7	65.
BA.2.87	38.
BA.2.87.1	79.
BA.2.9	41.
BA.2.9.1	49.
BA.2.9.2	42.
BA.2.9.3	41.
BA.2.9.4	44.
BA.2.9.5	42.
BA.2.9.6	43.
BA.2.9.7	48.
BA.3	31.
BA.3.1	33.
BA.4	40.
BA.4.1	41.
BA.4.1.1	41.
BA.4.1.10	43.
BA.4.1.11	47.
BA.4.1.2	45.
BA.4.1.3	44.
BA.4.1.4	42.
BA.4.1.5	43.
BA.4.1.6	42.
BA.4.1.7	46.
BA.4.1.8	44.
BA.4.1.9	41.
BA.4.2	42.
BA.4.3	43.
BA.4.4	41.
BA.4.5	43.
BA.4.6	42.
BA.4.6.1	42.
BA.4.6.2	44.
BA.4.6.3	43.
BA.4.6.4	43.
BA.4.6.5	43.
BA.4.7	43.
BA.4.8	39.
BA.5	46.5
BA.5.1	50.
BA.5.10	51.
BA.5.10.1	54.
BA.5.1.1	51.
BA.5.11	50.
BA.5.1.10	51.
BA.5.1.11	54.
BA.5.1.12	49.
BA.5.1.14	50.
BA.5.1.15	50.
BA.5.1.16	51.
BA.5.1.17	50.
BA.5.1.18	56.
BA.5.1.19	51.
BA.5.1.2	50.
BA.5.1.20	51.
BA.5.1.21	53.
BA.5.1.22	50.
BA.5.1.23	50.
BA.5.1.24	50.
BA.5.1.25	51.
BA.5.1.26	51.
BA.5.1.27	51.
BA.5.1.28	50.
BA.5.1.29	51.
BA.5.1.3	49.
BA.5.1.30	51.
BA.5.1.31	57.
BA.5.1.32	58.
BA.5.1.33	53.
BA.5.1.34	53.
BA.5.1.35	50.
BA.5.1.36	54.
BA.5.1.37	51.
BA.5.1.38	58.
BA.5.1.4	53.
BA.5.1.5	51.
BA.5.1.6	51.
BA.5.1.7	53.
BA.5.1.8	52.
BA.5.1.9	53.
BA.5.2	53.
BA.5.2.1	52.
BA.5.2.10	53.
BA.5.2.11	56.
BA.5.2.12	54.
BA.5.2.13	55.
BA.5.2.14	56.
BA.5.2.16	55.
BA.5.2.18	53.
BA.5.2.19	54.
BA.5.2.2	53.
BA.5.2.20	54.
BA.5.2.21	54.
BA.5.2.22	54.
BA.5.2.23	52.
BA.5.2.24	53.
BA.5.2.25	56.
BA.5.2.26	52.
BA.5.2.27	54.
BA.5.2.28	54.
BA.5.2.29	55.
BA.5.2.3	55.
BA.5.2.30	54.
BA.5.2.31	53.
BA.5.2.32	55.
BA.5.2.33	54.
BA.5.2.34	55.
BA.5.2.35	56.
BA.5.2.36	53.
BA.5.2.37	54.
BA.5.2.38	53.
BA.5.2.39	60.
BA.5.2.4	50.
BA.5.2.40	55.
BA.5.2.41	54.
BA.5.2.42	60.
BA.5.2.43	55.
BA.5.2.44	54.
BA.5.2.45	57.
BA.5.2.46	56.
BA.5.2.47	55.
BA.5.2.48	57.
BA.5.2.49	57.
BA.5.2.5	56.
BA.5.2.50	55.
BA.5.2.51	55.
BA.5.2.52	54.
BA.5.2.53	54.
BA.5.2.54	54.
BA.5.2.55	54.
BA.5.2.56	54.
BA.5.2.57	53.
BA.5.2.58	56.
BA.5.2.59	55.
BA.5.2.6	53.
BA.5.2.60	55.
BA.5.2.61	55.
BA.5.2.62	53.
BA.5.2.63	59.
BA.5.2.7	55.
BA.5.2.8	55.
BA.5.2.9	52.
BA.5.3	47.
BA.5.3.1	48.
BA.5.3.2	49.
BA.5.3.3	49.
BA.5.3.4	49.
BA.5.3.5	49.
BA.5.5	46.
BA.5.5.1	48.
BA.5.5.2	49.
BA.5.5.3	50.
BA.5.6	50.
BA.5.6.1	52.
BA.5.6.2	51.
BA.5.6.3	52.
BA.5.6.4	53.
BA.5.7	53.
BA.5.8	51.
BA.5.9	51.
BB.2	36.
BC.1	32.
BC.2	34.
BD.1	34.
BE.1	49.
BE.10	55.
BE.1.1	51.
BE.11	51.
BE.1.1.1	52.
BE.1.1.2	53.
BE.1.2	51.
BE.12	53.
BE.1.2.1	53.
BE.1.3	52.
BE.13	56.
BE.1.4	51.
BE.1.4.1	54.
BE.1.4.2	56.
BE.1.4.3	56.
BE.1.4.4	51.
BE.2	51.
BE.3	51.
BE.4	51.
BE.4.1	53.
BE.4.1.1	53.
BE.4.2	53.
BE.5	48.
BE.6	50.
BE.7	50.
BE.8	53.
BE.9	49.
BF.1	54.
BF.10	53.
BF.10.1	55.
BF.1.1	60.
BF.11	53.
BF.11.1	54.
BF.11.2	59.
BF.11.3	55.
BF.11.4	54.
BF.11.5	57.
BF.12	50.
BF.13	56.
BF.14	51.
BF.15	53.
BF.16	53.
BF.17	52.
BF.18	51.
BF.19	53.
BF.2	52.
BF.20	54.
BF.21	56.
BF.22	56.
BF.23	54.
BF.24	54.
BF.25	53.
BF.26	54.
BF.27	54.
BF.28	52.
BF.29	54.
BF.3	52.
BF.30	56.
BF.3.1	53.
BF.31	51.
BF.31.1	55.
BF.32	55.
BF.33	53.
BF.34	54.
BF.35	59.
BF.36	54.
BF.37	55.
BF.38	53.
BF.38.1	56.
BF.38.2	54.
BF.38.3	59.
BF.39	51.
BF.39.1	55.
BF.4	50.
BF.40	54.
BF.41	51.
BF.41.1	54.
BF.42	62.
BF.5	55.
BF.5.1	57.
BF.5.2	63.
BF.5.3	78.
BF.5.4	59.
BF.5.5	56.
BF.6	51.
