lineage	non_spike_mutations
BF.7	54.
BF.7.1	54.
BF.7.10	57.
BF.7.11	57.
BF.7.12	55.
BF.7.13	56.
BF.7.13.1	57.
BF.7.13.2	59.
BF.7.14	59.
BF.7.14.1	61.
BF.7.14.2	60.
BF.7.14.3	61.
BF.7.14.4	62.
BF.7.14.5	61.
BF.7.14.6	62.
BF.7.14.7	62.
BF.7.15	55.
BF.7.16	56.
BF.7.16.1	59.
BF.7.17	58.
BF.7.18	55.
BF.7.19	55.
BF.7.19.1	60.
BF.7.2	56.
BF.7.20	55.
BF.7.21	56.
BF.7.22	57.
BF.7.23	55.
BF.7.24	55.
BF.7.26	55.
BF.7.27	57.
BF.7.3	57.
BF.7.4	56.
BF.7.4.1	60.
BF.7.4.2	61.
BF.7.4.3	61.
BF.7.5	57.
BF.7.5.1	60.
BF.7.6	57.
BF.7.7	57.
BF.7.8	55.
BF.7.9	56.
BF.8	51.
BF.9	57.
BG.1	46.
BG.2	51.
BG.3	45.
BG.4	48.
BG.5	45.
BG.6	46.
BG.7	50.
BH.1	44.
BJ.1	52.
BK.1	52.
BL.1	46.
BL.1.1	48.
BL.1.2	48.
BL.1.3	50.
BL.1.4	50.
BL.1.5	49.
BL.2	48.
BL.2.1	49.
BL.3	49.
BL.4	49.
BL.5	54.
BL.6	53.
BM.1	47.
BM.1.1	47.
BM.1.1.1	48.
BM.1.1.2	56.
BM.1.1.3	50.
BM.1.1.4	51.
BM.1.1.5	49.
BM.2	47.
BM.2.1	50.
BM.2.2	54.
BM.2.3	48.
BM.3	49.
BM.4	48.
BM.4.1	48.
BM.4.1.1	48.
BM.5	48.
BM.6	52.
BN.1	48.
BN.1.1	49.
BN.1.10	48.
BN.1.1.1	49.
BN.1.11	54.
BN.1.2	50.
BN.1.2.1	52.
BN.1.2.2	51.
BN.1.2.3	51.
BN.1.2.4	51.
BN.1.2.5	53.
BN.1.2.6	52.
BN.1.2.7	53.
BN.1.2.8	53.
BN.1.3	50.5
BN.1.3.1	53.
BN.1.3.10	53.
BN.1.3.11	57.
BN.1.3.12	53.
BN.1.3.13	54.
BN.1.3.2	52.
BN.1.3.3	52.
BN.1.3.4	52.
BN.1.3.5	53.
BN.1.3.6	53.
BN.1.3.7	53.
BN.1.3.8	52.
BN.1.3.9	51.
BN.1.4	49.
BN.1.4.1	59.
BN.1.4.2	55.
BN.1.4.3	53.
BN.1.4.4	52.
BN.1.4.5	56.
BN.1.5	50.
BN.1.5.1	53.
BN.1.5.2	52.
BN.1.6	50.
BN.1.7	48.
BN.1.8	51.
BN.1.9	50.
BN.2	49.
BN.2.1	49.
BN.3	50.
BN.3.1	52.
BN.4	47.
BN.5	47.
BN.6	48.
BP.1	49.
BQ.1	54.
BQ.1.1	55.
BQ.1.10	54.
BQ.1.10.1	56.
BQ.1.10.2	57.
BQ.1.10.3	58.
BQ.1.1.1	56.
BQ.1.11	54.
BQ.1.1.10	55.
BQ.1.1.11	54.
BQ.1.11.1	59.
BQ.1.1.12	55.
BQ.1.1.13	55.
BQ.1.1.14	55.
BQ.1.1.15	55.
BQ.1.1.16	54.
BQ.1.1.17	55.
BQ.1.1.18	55.
BQ.1.1.19	55.
BQ.1.1.2	55.
BQ.1.12	54.
BQ.1.1.20	56.
BQ.1.1.21	56.
BQ.1.1.22	55.
BQ.1.1.23	57.
BQ.1.1.24	55.
BQ.1.1.25	54.
BQ.1.1.26	56.
BQ.1.1.27	56.
BQ.1.1.28	56.
BQ.1.1.29	56.
BQ.1.1.3	55.
BQ.1.13	55.
BQ.1.1.30	55.
BQ.1.1.31	54.
BQ.1.13.1	58.
BQ.1.1.32	54.
BQ.1.1.34	55.
BQ.1.1.35	57.
BQ.1.1.36	55.
BQ.1.1.37	55.
BQ.1.1.38	56.
BQ.1.1.39	58.
BQ.1.1.4	55.
BQ.1.14	54.
BQ.1.1.40	55.
BQ.1.1.41	57.
BQ.1.1.42	56.
BQ.1.1.43	58.
BQ.1.1.44	54.
BQ.1.1.45	54.
BQ.1.1.46	55.
BQ.1.1.47	55.
BQ.1.1.48	55.
BQ.1.1.49	57.
BQ.1.1.5	57.
BQ.1.15	54.
BQ.1.1.50	57.
BQ.1.1.51	56.
BQ.1.15.1	57.
BQ.1.1.52	55.
BQ.1.15.2	56.
BQ.1.1.53	54.
BQ.1.1.54	58.
BQ.1.1.55	56.
BQ.1.1.56	55.
BQ.1.1.57	55.
BQ.1.1.58	55.
BQ.1.1.59	57.
BQ.1.1.6	55.
BQ.1.16	56.
BQ.1.1.60	56.
BQ.1.1.61	56.
BQ.1.1.62	56.
BQ.1.1.63	56.
BQ.1.1.64	56.
BQ.1.1.65	55.
BQ.1.1.66	55.
BQ.1.1.67	56.
BQ.1.1.68	56.
BQ.1.1.69	55.
BQ.1.1.7	55.
BQ.1.17	54.
BQ.1.1.70	56.
BQ.1.1.71	59.
BQ.1.1.72	55.
BQ.1.1.73	56.
BQ.1.1.74	54.
BQ.1.1.75	59.
BQ.1.1.76	55.
BQ.1.1.77	56.
BQ.1.1.78	60.
BQ.1.1.79	58.
BQ.1.1.8	56.
BQ.1.18	55.
BQ.1.1.9	54.
BQ.1.19	53.
BQ.1.2	53.
BQ.1.20	53.
BQ.1.2.1	59.
BQ.1.21	56.
BQ.1.2.2	56.
BQ.1.22	56.
BQ.1.2.3	54.
BQ.1.23	55.
BQ.1.24	54.
BQ.1.25	57.
BQ.1.25.1	59.
BQ.1.26	55.
BQ.1.26.1	59.
BQ.1.26.2	56.
BQ.1.27	55.
BQ.1.28	60.
BQ.1.29	58.
BQ.1.3	54.
BQ.1.30	60.
BQ.1.3.1	56.
BQ.1.31	53.
BQ.1.3.2	55.
BQ.1.32	57.
BQ.1.33	54.
BQ.1.4	59.
BQ.1.5	54.
BQ.1.6	56.
BQ.1.7	53.
BQ.1.8	57.
BQ.1.8.1	59.
BQ.1.8.2	59.
BQ.1.9	55.
BQ.2	53.
BR.1	50.
BR.1.1	53.
BR.1.2	52.
BR.2	51.
BR.2.1	52.
BR.3	51.
BR.4	51.
BR.5	52.
BR.5.1	56.
BS.1	59.
BS.1.1	60.
BS.1.2	61.
BT.1	54.
BT.2	54.
BU.1	55.
BU.2	56.
BU.3	58.
BV.1	56.
BV.2	54.
BW.1	53.
BW.1.1	54.
BW.1.1.1	56.
BW.1.1.2	55.
BW.1.2	54.
BY.1	47.
BY.1.1	47.
BY.1.1.1	50.
BY.1.2	48.
BY.1.2.1	51.
BZ.1	58.
BZ.2	57.
C.1	13.
C.11	16.
C.1.2	21.
C.13	12.
C.14	12.
C.16	14.
C.2	13.
C.2.1	20.
C.23	12.
C.26	14.
C.29	12.
C.32	12.
C.33	12.
C.35	14.
C.36	12.
C.36.3	27.
C.36.3.1	34.
C.37	23.
C.37.1	27.
C.38	29.
C.39	27.
C.4	13.
C.40	19.
CA.1	53.
CA.2	51.
CA.3	51.
CA.3.1	53.
CA.4	54.
CA.5	52.
CA.6	51.
CA.7	53.
CB.1	47.
CC.1	55.
CD.1	55.
CD.2	55.
CE.1	54.
CF.1	54.
CG.1	55.
CH.1	49.
CH.1.1	49.
CH.1.1.1	52.
CH.1.1.10	52.
CH.1.1.11	51.
CH.1.1.12	54.
CH.1.1.13	54.
CH.1.1.14	53.
CH.1.1.15	51.
CH.1.1.16	53.
CH.1.1.17	52.
CH.1.1.18	56.
CH.1.1.19	52.
CH.1.1.2	54.
CH.1.1.20	56.
CH.1.1.21	52.
CH.1.1.22	56.
CH.1.1.23	52.
CH.1.1.24	52.
CH.1.1.25	52.
CH.1.1.26	55.
CH.1.1.27	50.
CH.1.1.28	53.
CH.1.1.29	51.
CH.1.1.3	49.
CH.1.1.30	53.
CH.1.1.31	57.
CH.1.1.32	55.
CH.1.1.4	51.
CH.1.1.5	54.
CH.1.1.6	54.
CH.1.1.7	50.
CH.1.1.8	53.
CH.1.1.9	54.
CH.2	48.
CH.3	51.
CH.3.1	51.
CJ.1	49.
CJ.1.1	50.
CJ.1.2	51.
CJ.1.3	52.
CJ.1.3.1	58.
CJ.1.3.2	54.
CK.1	53.
CK.1.1	54.
CK.1.1.1	57.
CK.1.1.2	58.
CK.1.2	55.
CK.1.3	53.
CK.1.4	58.
CK.1.5	57.
CK.2	54.
CK.2.1	54.
CK.2.1.1	58.
CK.3	54.
CL.1	53.
CL.1.1	56.
CL.1.2	56.
CL.1.3	55.
CM.1	54.
CM.10	53.
CM.11	56.
CM.12	59.
CM.2	55.
CM.2.1	57.
CM.3	55.
CM.4	55.
CM.4.1	56.
CM.5	55.
CM.5.1	55.
CM.5.2	55.
CM.6	54.
CM.6.1	60.
CM.7	56.
CM.7.1	55.
CM.7.1.1	59.
CM.8	54.
CM.8.1	55.
CM.8.1.1	59.
CM.8.1.2	57.
CM.8.1.3	59.
CM.8.1.4	57.
CM.8.1.5	58.
CM.9	54.
CN.1	55.
CN.2	56.
CP.1	54.
CP.1.1	57.
CP.1.2	57.
CP.1.3	56.
CP.2	55.
CP.3	54.
CP.4	56.
CP.5	54.
CP.6	55.
CP.7	62.
CP.8	57.
CP.8.1	63.
CQ.1	54.
CQ.1.1	56.
CQ.2	54.
CR.1	53.
CR.1.1	56.
CR.1.2	57.
CR.1.3	56.
CR.2	53.
CS.1	48.
CT.1	54.
CU.1	51.
CV.1	54.
CV.2	52.
CW.1	55.
CY.1	57.
CY.2	63.
CZ.1	59.
CZ.2	58.
D.2	12.
DA.1	54.
DB.1	58.
DB.2	56.
DB.3	66.
DC.1	43.
DD.1	46.
DE.1	52.
DE.2	58.
DF.1	56.
DF.1.1	58.
DG.1	58.
DH.1	53.
DJ.1	52.
DJ.1.1	54.
DJ.1.1.1	60.
DJ.1.2	57.
DJ.1.3	56.
DK.1	56.
DL.1	52.
DM.1	55.
DN.1	58.
DN.1.1	59.
DN.1.1.1	63.
DN.1.1.2	60.
DN.1.1.3	61.
DN.1.1.4	60.
DN.2	59.
DN.3	58.
DN.3.1	58.
DP.1	57.
DQ.1	58.
DR.1	56.
DR.2	57.
DS.1	54.
DS.2	56.
DS.3	55.
DT.1	56.
DT.2	54.
DT.3	54.
DU.1	57.
DV.1	54.
DV.1.1	55.
DV.2	54.
DV.3	56.
DV.3.1	57.
DV.4	54.
DV.5	55.
DV.6	55.
DV.6.1	56.
DV.6.2	57.
DV.7	57.
DV.7.1	61.
DV.7.1.1	62.
DV.7.1.2	64.
DV.7.1.3	63.
DV.7.1.4	63.
DV.7.1.5	62.
DV.7.1.6	66.
DV.7.1.7	67.
DV.7.1.8	64.
DV.7.1.9	64.
DV.7.2	62.
DV.8	56.
DW.1	56.
DY.1	58.
DY.1.1	60.
DY.2	60.
DY.3	60.
DY.4	59.
DZ.1	61.
DZ.2	59.
EA.1	56.
EA.2	55.
EB.1	53.
EC.1	57.
EC.1.1	57.
ED.1	58.
ED.2	56.
ED.3	56.
EE.1	56.
EE.2	56.
EE.3	56.
EE.4	55.
EE.5	55.
EF.1	57.
EF.1.1	59.
EF.1.1.1	59.
EF.1.2	59.
EF.1.3	59.
EF.2	56.
EF.3	56.
EG.1	63.
EG.10	62.
EG.10.1	69.
EG.10.1.1	69.
EG.1.1	64.
EG.11	65.
EG.1.2	64.
EG.12	65.
EG.1.3	65.
EG.13	65.
EG.1.4	64.
EG.14	65.
EG.1.4.1	71.
EG.1.5	63.
EG.1.6	64.
EG.1.7	63.
EG.1.8	68.
EG.2	64.
EG.2.1	72.
EG.2.2	68.
EG.2.3	67.
EG.2.4	69.
EG.2.5	65.
EG.3	64.
EG.4	64.
EG.4.1	66.
EG.4.2	67.
EG.4.3	65.
EG.4.4	67.
EG.4.5	64.
EG.5	66.
EG.5.1	67.
EG.5.1.1	71.
EG.5.1.10	69.
EG.5.1.11	67.
EG.5.1.12	69.
EG.5.1.13	68.
EG.5.1.14	69.
EG.5.1.15	68.
EG.5.1.16	68.
EG.5.1.17	68.
EG.5.1.18	69.
EG.5.1.19	68.
EG.5.1.2	69.
EG.5.1.3	69.
EG.5.1.4	68.
EG.5.1.5	73.
EG.5.1.6	69.
EG.5.1.7	67.
EG.5.1.8	68.
EG.5.1.9	70.
EG.5.2	68.
EG.5.2.1	74.
EG.5.2.2	71.
EG.5.2.3	70.
EG.5.2.4	72.
EG.6	63.
EG.6.1	65.
EG.6.1.1	69.
EG.6.1.2	67.
EG.7	66.
EG.8	64.
EG.9	66.
EG.9.1	67.
EH.1	58.
EJ.1	53.
EJ.2	53.
EJ.3	55.
EK.1	62.
EK.2	63.
EK.2.1	64.
EK.3	62.
EK.4	60.
EL.1	60.
EM.1	60.
EN.1	56.
EN.1.1	57.
EP.1	58.
EP.1.1	62.
EP.1.1.1	69.
EP.2	58.
EQ.1	53.
ER.1	55.
ER.1.1	58.
ES.1	56.
ET.1	58.
EU.1	60.
EU.1.1	61.
EU.1.1.1	62.
EU.1.1.2	62.
EU.1.1.3	62.
EV.1	60.
EW.1	57.
EW.2	59.
EW.3	57.
EY.1	59.
EZ.1	58.
FA.1	55.
FA.2	57.
FB.1	59.
FB.2	61.
FC.1	55.
FD.1	65.
FD.1.1	66.
FD.2	61.
FD.2.1	64.
FD.3	61.
FD.4	61.
FD.4.1	63.
FD.5	61.
FD.5.1	63.
FE.1	60.
FE.1.1	62.
FE.1.1.1	65.5
FE.1.1.2	65.
FE.1.1.3	64.
FE.1.1.4	64.
FE.1.1.5	63.
FE.1.2	61.
FF.1	62.
FG.1	63.
FG.2	59.
FG.3	61.
FH.1	62.
FJ.1	54.
FK.1	54.5
FK.1.1	60.
FK.1.1.1	63.
FK.1.1.2	62.
FK.1.2	57.
FK.1.2.1	58.
FK.1.2.2	62.
FK.1.3	62.
FK.1.3.1	62.
FK.1.3.2	65.
FK.1.4	58.
FK.1.4.1	59.
FK.1.5	61.
FL.1	64.5
FL.10	62.
FL.10.1	64.
FL.10.2	72.
FL.10.3	63.
FL.1.1	65.
FL.11	65.
FL.1.1.1	68.
FL.1.2	65.
FL.12	62.
FL.1.3	67.
FL.13	62.
FL.13.1	65.
FL.13.2	64.
FL.13.2.1	67.
FL.13.3	63.
FL.13.3.1	64.
FL.13.4	65.
FL.13.4.1	73.
FL.13.5	69.
FL.1.4	65.
FL.14	65.
FL.1.5	66.
FL.15	64.5
FL.1.5.1	67.
FL.15.1	68.
FL.15.1.1	72.
FL.1.5.2	68.
FL.15.2	70.
FL.15.3	65.
FL.15.4	66.
FL.1.6	66.
FL.16	62.
FL.1.7	70.
FL.17	63.
FL.17.1	67.
FL.17.2	65.
FL.1.8	70.
FL.18	62.
FL.18.1	65.
FL.18.1.1	68.
FL.19	65.
FL.19.1	70.
FL.2	62.
FL.20	67.
FL.20.1	67.
FL.20.2	69.
FL.2.1	63.
FL.21	62.
FL.21.1	64.
FL.21.2	65.
FL.2.2	64.
FL.22	63.
FL.2.2.1	64.
FL.2.3	63.
FL.23	62.
FL.2.3.1	66.
FL.23.1	65.
FL.23.2	63.
FL.23.2.1	64.
FL.2.4	64.
FL.24	65.
FL.24.1	67.
FL.2.5	62.
FL.25	61.
FL.2.6	64.
FL.26	62.
FL.26.1	65.
FL.2.7	63.
FL.27	62.
FL.2.7.1	64.
FL.28	68.
FL.29	62.
FL.3	62.
FL.30	68.
FL.30.1	66.
FL.3.1	63.
FL.31	63.
FL.31.1	69.
FL.3.2	63.
FL.32	65.
FL.32.1	68.
FL.3.3	65.
FL.33	62.
FL.33.1	62.
FL.3.4	64.
FL.34	64.
FL.35	62.
FL.35.1	63.
FL.36	64.
FL.37	63.
FL.38	67.
FL.39	62.
FL.39.1	70.
FL.4	63.
FL.40	63.
FL.4.1	63.
FL.4.10	64.
FL.4.1.1	64.
FL.4.11	66.
FL.4.2	68.
FL.4.3	65.
FL.4.4	65.
FL.4.5	66.
FL.4.6	66.
FL.4.7	67.
FL.4.8	62.
FL.4.9	66.
FL.5	62.
FL.5.1	65.
FL.6	62.
FL.7	62.
FL.8	62.
FL.9	63.
FM.1	55.
FM.2	55.
FN.1	56.
FP.1	60.
FP.2	59.
FP.2.1	64.
FP.2.1.1	64.
FP.2.1.2	65.
FP.3	58.
FP.4	60.
FQ.1	59.
FR.1	55.
FR.1.1	60.
FR.1.2	60.
FR.1.3	63.
FR.1.4	61.
FR.1.5	61.
FR.2	55.
FS.1	55.
FT.1	61.
FT.2	63.
FT.3	60.
FT.3.1	63.
FT.3.1.1	63.
FT.4	61.
FU.1	65.
FU.1.1	68.
FU.1.1.1	69.
FU.2	66.
FU.2.1	69.
FU.3	65.
FU.3.1	65.
FU.4	65.
FU.5	67.
FV.1	60.
FW.1	57.
FW.1.1	62.
FW.1.1.1	68.
FW.2	57.
FW.3	60.
FY.1	59.
FY.1.1	59.
FY.1.2	61.5
FY.1.2.1	65.
FY.1.2.2	64.
FY.1.2.3	66.
FY.1.3	60.
FY.1.4	64.
FY.1.4.1	68.
FY.2	59.
FY.2.1	61.
FY.3	60.
FY.3.1	62.
FY.3.2	61.
FY.3.3	62.
FY.4	60.
FY.4.1	60.
FY.4.1.1	61.
FY.4.1.2	61.
FY.4.2	63.
FY.5	58.
FY.5.1	60.
FY.5.1.1	63.
FY.5.2	61.
FY.5.3	62.
FY.5.4	63.
FY.5.5	62.
FY.5.5.1	62.
FY.6	59.
FY.6.1	66.
FY.6.2	64.
FY.7	67.
FY.8	58.
FY.8.1	60.
FY.8.1.1	64.
FY.9	60.
FZ.1	60.
FZ.1.1	65.
FZ.2	62.
GA.1	59.
GA.10	60.
GA.10.1	72.
GA.2	61.
GA.2.1	61.
GA.2.1.1	65.
GA.3	60.
GA.4	61.
GA.4.1	68.
GA.4.1.1	68.
GA.4.1.2	72.
GA.4.1.3	72.
GA.4.2	67.
GA.4.3	70.
GA.5	60.
GA.6	61.
GA.6.1	64.
GA.7	61.
GA.7.1	64.
GA.7.2	61.
GA.8	62.
GA.8.1	66.
GA.9	62.
GB.1	64.
GB.2	64.
GC.1	64.
GC.2	60.
GD.1	63.
GD.2	62.
GD.3	63.
GE.1	60.
GE.1.1	63.
GE.1.2	65.
GE.1.2.1	66.
GE.1.2.2	70.
GE.1.3	63.
GE.1.4	63.
GE.1.5	64.
GE.1.6	65.
GF.1	60.
GG.1	60.
GH.1	62.
GJ.1	63.
GJ.1.1	70.
GJ.1.2	66.
GJ.1.2.1	66.
GJ.1.2.2	69.
GJ.1.2.3	68.
GJ.1.2.4	71.
GJ.1.2.5	69.
GJ.1.2.6	67.
GJ.1.2.7	68.
GJ.1.2.8	69.
GJ.2	65.
GJ.3	64.
GJ.4	62.
GJ.5	63.
GJ.5.1	65.
GJ.6	64.
GJ.7	62.
GK.1	69.
GK.10	68.
GK.1.1	70.
GK.11	67.
GK.1.10	74.
GK.1.10.1	75.
GK.1.1.1	71.
GK.1.11	72.
GK.1.11.1	74.
GK.1.2	69.
GK.12	70.
GK.1.2.1	79.
GK.1.3	72.
GK.1.4	70.
GK.1.5	70.
GK.1.6	71.
GK.1.6.1	73.
GK.1.7	71.
GK.1.8	75.
GK.1.8.1	78.
GK.1.9	70.
GK.2	68.
GK.2.1	71.
GK.2.1.1	73.
GK.2.2	68.
GK.2.3	70.
GK.2.4	71.
GK.3	68.
GK.3.1	68.
GK.3.2	71.
GK.4	70.
GK.5	67.
GK.5.1	68.
GK.6	68.
GK.7	67.
GK.8	67.
GK.8.1	70.
GK.9	66.
GL.1	55.
GL.2	60.
GL.3	55.
GM.1	65.
GM.2	64.
GM.3	65.
GM.3.1	67.
GN.1	63.
GN.1.1	65.
GN.1.2	65.
GN.1.3	68.
GN.1.4	67.
GN.2	64.
GN.3	61.
GN.4	61.
GN.5	62.
GP.1	52.
GP.2	53.
GP.3	55.
GQ.1	53.
GQ.1.1	58.
GR.1	61.
GS.1	63.
GS.2	61.
GS.3	63.
GS.4	65.
GS.4.1	66.
GS.4.1.1	68.
GS.5	64.
GS.6	73.
GS.7	63.
GS.7.1	72.
GS.8	68.
GT.1	54.
GU.1	64.
GV.1	61.
GW.1	67.
GW.1.1	68.
GW.2	66.
GW.3	62.
GW.4	61.
GW.5	69.
GW.5.1	71.
GW.5.1.1	75.
GW.5.2	71.
GW.5.3	71.
GW.5.3.1	73.
GY.1	67.
GY.1.1	68.
GY.1.1.1	74.
GY.2	67.
GY.2.1	67.
GY.3	67.
GY.4	68.
GY.5	67.
GY.6	67.
GY.7	70.
GY.8	67.
GY.9	67.
GZ.1	61.
HA.1	60.
HA.2	60.
HB.1	64.
HC.1	65.
HC.2	69.
HC.3	68.
HC.4	70.
HD.1	67.
HD.1.1	67.
HE.1	68.
HE.2	69.
HF.1	68.
HF.1.1	74.
HF.1.2	70.
HG.1	64.
HG.1.1	66.
HG.2	66.
HG.3	65.
HH.1	66.
HH.1.1	67.
HH.2	65.
HH.2.1	69.
HH.3	66.
HH.4	65.
HH.5	67.
HH.6	68.
HH.7	63.
HH.8	64.
HH.8.1	65.
HJ.1	59.
HK.1	70.
HK.11	71.
HK.11.1	73.
HK.1.2	73.
HK.12	71.
HK.13	70.
HK.13.1	73.
HK.13.2	74.
HK.13.2.1	77.
HK.14	74.
HK.15	72.
HK.16	74.
HK.17	70.
HK.18	71.
HK.19	70.
HK.2	71.
HK.20	74.
HK.20.1	74.
HK.2.1	71.
HK.21	72.
HK.22	78.
HK.23	71.
HK.23.1	76.
HK.23.1.1	81.
HK.24	71.
HK.24.1	71.
HK.25	86.
HK.26	72.
HK.26.1	72.
HK.27	72.
HK.27.1	72.
HK.27.1.1	72.
HK.28	71.
HK.29	71.
HK.3	70.
HK.30	71.
HK.3.1	70.
HK.31	71.
HK.3.10	72.
HK.3.11	73.
HK.3.12	73.
HK.3.13	72.
HK.3.14	73.
HK.3.2	72.
HK.32	70.
HK.3.2.1	77.
HK.3.2.2	78.
HK.3.3	72.
HK.33	71.
HK.3.4	75.
HK.34	76.
HK.34.1	78.
HK.3.5	75.
HK.3.6	72.
HK.3.7	71.
HK.3.8	71.
HK.3.9	75.
HK.4	71.
HK.5	70.
HK.6	73.
HK.7	70.
HK.8	71.
HK.8.1	73.
HK.9	72.
HL.1	62.
HL.2	63.
HM.1	63.
HN.1	68.
HN.2	70.
HN.2.1	72.
HN.3	68.
HN.3.1	69.
HN.4	71.
HN.4.1	72.
HN.4.1.1	75.
HN.4.2	74.
HN.5	67.
HN.6	70.
HN.7	70.
HN.8	70.
HP.1	61.
HP.1.1	61.
HQ.1	62.
HR.1	69.
HR.1.1	73.
HS.1	59.
HS.1.1	63.
HT.1	61.
HT.2	60.
HU.1	62.
HU.1.1	65.
HU.2	66.
HV.1	70.5
HV.1.1	71.
HV.1.10	71.
HV.1.11	71.
HV.1.2	71.
HV.1.3	70.
HV.1.4	72.
HV.1.5	72.
HV.1.6	73.
HV.1.6.1	75.
HV.1.7	72.
HV.1.8	72.
HV.1.9	73.
HV.2	74.
HW.1	57.
HW.1.1	58.
HW.1.2	57.
