variant	log_fitness
A	0.3104
A.1	-0.1065
A.2.5	0.373
A.3	-0.0812
AY.1	0.6151
AY.100	0.6738
AY.103	0.8085
AY.107	0.6639
AY.110	0.5797
AY.113	0.6761
AY.114	0.626
AY.116.1	0.626
AY.117	0.675
AY.118	0.6406
AY.119	0.6621
AY.119.2	0.6738
AY.120.1	0.6318
AY.121	0.705
AY.122	0.6482
AY.125	0.6986
AY.127	0.7144
AY.13	0.5655
AY.14	0.5771
AY.2	0.5181
AY.20	0.6444
AY.25	0.8086
AY.25.1	0.6616
AY.25.1.1	0.6304
AY.26	0.5993
AY.3	0.8047
AY.3.1	0.6434
AY.3.3	0.6968
AY.33	0.6559
AY.34.1	0.7118
AY.35	0.5897
AY.36	0.6762
AY.37	0.5998
AY.39	0.6719
AY.39.1	0.6667
AY.4	0.6807
AY.43	0.7091
AY.44	0.8022
AY.46.1	0.6915
AY.46.4	0.6559
AY.47	0.6231
AY.48	0.5429
AY.5	0.6298
AY.52	0.5384
AY.5.3	0.6478
AY.54	0.5993
AY.62	0.5768
AY.64	0.62
AY.67	0.5579
AY.75	0.6067
AY.9	0.6328
AY.98.1	0.6808
B	0.5469
B.1	0.401
B.1.1	0.1154
B.1.1.1	0.2975
B.1.110.3	0.0886
B.1.1.207	0.1332
B.1.126	0.1063
B.1.1.291	0.0392
B.1.1.316	0.1464
B.1.1.318	0.3633
B.1.1.416	0.1281
B.1.1.434	0.0992
B.1.1.519	0.2511
B.1.1.529	2.4581
B.1.1.7	0.3416
B.1.2	0.1261
B.1.206	0.044
B.1.232	0.1348
B.1.234	0.1186
B.1.240	0.0824
B.1.241	0.1021
B.1.243	0.1074
B.1.311	0.1224
B.1.320	-0.001
B.1.349	0.1116
B.1.351	0.3232
B.1.371	-0.0284
B.1.396	0.0993
B.1.400	0.1056
B.1.409	0.1424
B.1.426	0.0421
B.1.427	0.201
B.1.429	0.2012
B.1.436	0.1036
B.1.509	0.0713
B.1.517	0.1467
B.1.525	0.2934
B.1.526	0.3085
B.1.561	0.124
B.1.565	0.0936
B.1.575	0.2299
B.1.577	0.1138
B.1.588	0.1534
B.1.609	0.1188
B.1.617.2	0.813
B.1.621	0.4865
B.1.621.1	0.4913
B.1.623	0.2704
B.1.637	0.3367
BA.1	1.1764
BA.1.1	1.2827
BA.1.1.10	1.2909
BA.1.1.14	1.2276
BA.1.1.16	1.2606
BA.1.1.18	1.2845
BA.1.1.2	1.2061
BA.1.15	1.2132
BA.1.15.2	1.2655
BA.1.17	1.1593
BA.1.17.2	1.1652
BA.1.1.8	1.2105
BA.1.18	1.1666
BA.1.20	1.2148
BA.2	2.0269
BA.2.1	1.5407
BA.2.10	1.4302
BA.2.10.1	1.4446
BA.2.12.1	1.6818
BA.2.13	1.6885
BA.2.18	1.6613
BA.2.21	1.5261
BA.2.23	1.579
BA.2.26	1.4891
BA.2.3	1.5023
BA.2.31	1.5504
BA.2.3.17	1.447
BA.2.3.20	2.0997
BA.2.37	1.5154
BA.2.48	1.6353
BA.2.65	1.5752
BA.2.7	1.4652
BA.2.75	2.0387
BA.2.75.2	2.0552
BA.2.75.3	2.0368
BA.2.86.1	2.5887
BA.2.9	1.522
BA.2.9.7	1.6556
BA.4	1.8624
BA.4.1	1.854
BA.4.1.1	1.8273
BA.4.1.6	1.823
BA.4.1.8	1.9681
BA.4.2	1.8512
BA.4.4	1.8496
BA.4.6	1.985
BA.4.6.5	1.9766
BA.5	2.0355
BA.5.1	1.9708
BA.5.10.1	2.0631
BA.5.1.1	1.9253
BA.5.1.10	1.9606
BA.5.1.18	2.0374
BA.5.1.2	1.959
BA.5.1.22	1.958
BA.5.1.23	1.9504
BA.5.1.24	1.9288
BA.5.1.25	1.9484
BA.5.1.27	2.0886
BA.5.1.3	1.9495
BA.5.1.30	1.9493
BA.5.1.5	2.0138
BA.5.1.6	1.9624
BA.5.2	2.0399
BA.5.2.1	1.9616
BA.5.2.16	2.0293
BA.5.2.20	1.9807
BA.5.2.21	1.9708
BA.5.2.22	1.9764
BA.5.2.23	2.066
BA.5.2.24	2.097
BA.5.2.27	1.9743
BA.5.2.3	1.9758
BA.5.2.31	1.9846
BA.5.2.34	2.0811
BA.5.2.6	2.082
BA.5.2.9	1.9651
BA.5.3	1.9037
BA.5.3.1	2.0092
BA.5.5	1.889
BA.5.5.1	1.9908
BA.5.6	1.9298
BA.5.6.2	2.0288
BA.5.8	1.8943
BE.1	1.9346
BE.1.1	1.9544
BE.1.1.1	2.0328
BE.1.2	2.0544
BE.1.4	1.9626
BE.2	1.9175
BE.3	1.9177
BE.4	2.0376
BE.4.1.1	2.1335
BF.1	1.8784
BF.10	1.9768
BF.11	2.0581
BF.13	2.0032
BF.14	2.0512
BF.21	1.917
BF.26	1.9863
BF.27	1.9282
BF.28	1.9028
BF.4	1.9483
BF.5	1.9627
BF.7	2.0678
BF.7.4	2.0593
BF.7.4.1	2.0913
BF.8	1.912
BF.9	1.9232
BG.2	1.7172
BG.5	1.7258
BK.1	1.9677
BN.1	2.1528
BN.1.3	2.1502
BN.1.5	2.1335
BQ.1	2.1239
BQ.1.1	2.1609
BQ.1.10	2.1526
BQ.1.1.1	2.1695
BQ.1.11	2.1301
BQ.1.1.18	2.1569
BQ.1.12	2.1374
BQ.1.1.3	2.1483
BQ.1.13	2.1503
BQ.1.1.32	2.2191
BQ.1.1.4	2.146
BQ.1.14	2.125
BQ.1.1.41	2.1867
BQ.1.1.5	2.1478
BQ.1.1.51	2.1659
BQ.1.1.68	2.1505
BQ.1.1.69	2.1757
BQ.1.1.7	2.1512
BQ.1.2	2.1459
BQ.1.23	2.1662
BQ.1.25	2.2464
BQ.1.25.1	2.2052
BQ.1.3.2	2.1337
BQ.1.32	2.1604
BQ.1.5	2.1287
BW.1	2.1759
C.37	0.4046
CH.1.1	2.271
CH.1.1.1	2.3669
CK.1	2.1576
DN.2	2.1512
DT.2	2.2448
EF.1	2.2295
EG.1	2.3628
EG.5.1	2.5056
EG.5.1.1	2.4615
EG.5.1.16	2.4337
EG.5.1.3	2.4437
EG.5.1.4	2.4477
EG.5.1.6	2.4756
EG.5.2	2.3896
EG.6.1	2.415
FD.2	2.3041
FE.1	2.371
FL.1.5.1	2.4588
FL.2	2.3607
FL.4	2.3524
FU.1	2.3893
FU.2	2.4081
GE.1	2.4631
GJ.1.2	2.426
GK.1.1	2.4791
HF.1	2.4568
HK.3	2.5387
HV.1	2.5236
HV.1.1	2.5727
JD.1.1	2.5548
JF.1.1	2.518
JF.4	2.4373
JG.3	2.5825
JN.1	2.7274
JN.1.1	2.6991
JN.1.11.1	2.8197
JN.1.13.1	2.7787
JN.1.16	2.8405
JN.1.16.1	2.847
JN.1.18	2.8122
JN.1.2	2.6622
JN.1.39	2.7175
JN.1.4	2.7307
JN.1.4.2	2.7182
JN.1.42	2.7137
JN.1.43	2.6962
JN.1.4.5	2.7063
JN.1.7	2.7714
JN.1.7.5	2.7569
JN.1.8.1	2.7398
JN.1.9	2.6822
KP.1.1	2.8722
KP.1.1.1	2.847
KP.1.1.3	2.8849
KP.2	2.8516
KP.2.2	2.862
KP.2.3	2.9162
KP.3	2.8981
KP.3.1	2.9011
KP.3.1.1	2.9717
KP.3.2	2.8592
KP.3.2.3	2.8684
KP.3.3	2.9109
KS.1	2.8498
LB.1	2.9084
LB.1.3	2.8912
LB.1.7	2.8813
LP.1	2.893
P.1	0.4111
P.1.10	0.4115
P.1.13	0.4034
P.1.17	0.4247
P.2	0.1928
Q.3	0.3801
R.1	0.2445
XB	0.4628
XBB	2.1839
XBB.1	2.4632
XBB.1.15	2.1822
XBB.1.16	2.4066
XBB.1.16.1	2.394
XBB.1.16.11	2.458
XBB.1.16.15	2.475
XBB.1.16.2	2.3812
XBB.1.16.6	2.4505
XBB.1.22.1	2.4135
XBB.1.41	2.4691
XBB.1.42	2.4073
XBB.1.42.2	2.4131
XBB.1.5	2.3447
XBB.1.5.1	2.3309
XBB.1.5.10	2.3647
XBB.1.5.11	2.2849
XBB.1.5.13	2.3033
XBB.1.5.15	2.3239
XBB.1.5.16	2.3089
XBB.1.5.17	2.3056
XBB.1.5.19	2.2957
XBB.1.5.20	2.311
XBB.1.5.21	2.3044
XBB.1.5.31	2.2946
XBB.1.5.32	2.3068
XBB.1.5.33	2.2934
XBB.1.5.35	2.3329
XBB.1.5.4	2.3319
XBB.1.5.48	2.3208
XBB.1.5.49	2.3497
XBB.1.5.51	2.3146
XBB.1.5.67	2.2959
XBB.1.5.68	2.3882
XBB.1.5.70	2.4494
XBB.1.5.72	2.3831
XBB.1.5.73	2.372
XBB.1.5.95	2.3367
XBB.1.9.1	2.4097
XBB.1.9.2	2.3941
XBB.2	2.1783
XBB.2.3	2.4036
XBB.2.3.11	2.4576
XBB.2.3.2	2.3791